"cog_state","prob_ave_workload","prob_bds_workload","prob_distraction","prob_fbds_workload","prob_high_eng","prob_low_eng","prob_sleep_onset","fz_o1_gamma","fz_pz_alpha","fz_t3_beta","n_fixations","n_saccades","pupil_size","scan_path_length","option","complexity_type","subject","option_type","mot","vs","response","predicted_values","residuals"
0.9,0.388592333333333,0.49073,0.000675333333333333,0.286454333333333,0.931888,0.0674366666666667,0,0.481964612517425,0.495406207895466,0.48130287261349,7,56,4.52863594793504,58.9767809768009,"caution_option","S002",2011,"pre_option",0.766666666666667,0.766666666666667,0,0.34871429997393,-0.34871429997393
0.9,0.333873333333333,0.369738333333333,0.000141666666666667,0.298008333333333,0.806970666666667,0.192887666666667,0,0.641182553864853,0.382711627432079,0.450916956065581,10,60,4.31316250620164,198.172791941335,"target_option","S002",2011,"pre_option",0.766666666666667,0.766666666666667,1,0.324371267297883,0.675628732702117
0.9,0.237799,0.203761,0.0223183333333333,0.271837666666667,0.801779666666667,0.149734666666667,0.0261673333333333,0.624524064027755,0.184451581103866,0.32956145433712,10,58,4.36669541631864,96.5321035206473,"target_option","S002",2011,"pre_option",0.766666666666667,0.766666666666667,1,0.332323786155064,0.667676213844936
0.8,0.430751,0.403245,0.000100666666666667,0.458256666666667,0.714787333333333,0.28481,0.000301666666666667,0.316548312967152,0.555883206123575,0.252026353760515,7,51,4.6619879379574,179.912020974591,"target_option","S002",2011,"pre_option",0.766666666666667,0.766666666666667,1,0.476689539015747,0.523310460984253
0.9,0.318149,0.28461,0.00573766666666667,0.351688,0.925873333333333,0.068389,0,0.496094653894987,0.493200827107094,0.204315137850575,13,57,4.3629275072341,140.540507146836,"caution_option","S002",2011,"pre_option",0.766666666666667,0.766666666666667,0,0.345052717748005,-0.345052717748005
0.533333333333333,0.353670666666667,0.44393,0.00234866666666667,0.263411333333333,0.171772666666667,0.492326,0.333552666666667,0.569840262822976,0.217113494886243,0.580771920779864,9,62,4.55804915889617,204.509305120942,"caution_option","S002",2011,"pre_option",0.766666666666667,0.766666666666667,0,0.539880897412725,-0.539880897412725
0.8,0.295150666666667,0.356242,0.001126,0.234059,0.65566,0.343214,0,0.243063617209317,0.337265683016233,0.381372757526803,9,61,4.51669545327463,98.8203076447599,"caution_option","S002",2011,"pre_option",0.766666666666667,0.766666666666667,0,0.522494516970612,-0.522494516970612
0.433333333333333,0.320585333333333,0.355786666666667,0.000212,0.285384,0.049276,0.619111,0.331401,0.462374213375464,0.134704161578196,0.587845973055748,11,60,4.44348755373449,156.219481308308,"caution_option","S002",2011,"pre_option",0.766666666666667,0.766666666666667,0,0.617532224517331,-0.617532224517331
0.7,0.360335,0.400484333333333,0.001219,0.320186,0.343014666666667,0.655301,0.000464666666666667,0.480500014088073,0.298222490082128,0.349103093615165,10,56,4.33656808176348,115.841462060605,"target_option","S002",2011,"pre_option",0.766666666666667,0.766666666666667,1,0.523598032022353,0.476401967977647
0.9,0.457111666666667,0.466322666666667,0.00212033333333333,0.447901,0.971608666666667,0.020999,0.005272,0.655315109530635,0.317804286900595,0.61424361584004,6,58,3.77893809202087,233.103911500718,"target_option","S002",2012,"pre_option",0.7,0.733333333333333,1,0.393604597554137,0.606395402445863
